pm25,recorded_at
3.53,2024-07-30T11:00:00Z
12.0,2024-07-11T14:00:00Z
10.067,2026-07-14T09:00:00Z
11.0,2026-07-14T09:00:00Z
14.9495628718027,2022-02-09T00:00:00Z
3.5,2026-05-11T06:00:00Z
11.0,2026-07-14T09:00:00Z
3.0,2018-09-10T22:00:00Z
16.0,2026-07-14T09:00:00Z
18.4,2026-07-14T10:00:00Z
6.8,2026-07-14T10:00:00Z
5.1,2026-07-14T10:00:00Z
25.0,2026-05-20T20:00:00Z
9.6,2026-07-14T09:00:00Z
8.6,2026-07-14T09:00:00Z
2.9,2024-12-20T14:00:00Z
7.1,2026-07-14T09:00:00Z
9.75,2024-01-29T20:00:00Z
8.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
20.5,2026-07-14T10:00:00Z
10.3,2026-07-14T09:00:00Z
7.0,2024-03-15T17:00:00Z
12.0,2026-07-13T11:00:00Z
12.2,2026-07-14T10:00:00Z
23.70000076,2024-01-29T18:00:00Z
7.06,2025-09-19T19:59:37Z
4.83,2025-09-03T04:32:13Z
1.8,2026-07-14T10:00:00Z
2.94,2025-02-27T22:50:40Z
4.8,2021-11-10T17:00:00Z
5.24,2025-09-03T04:06:05Z
7.33,2025-09-19T19:56:18Z
8.47,2025-09-19T19:58:42Z
7.47,2025-09-19T20:01:45Z
7.82,2025-09-19T20:03:32Z
1.0,2023-01-26T20:00:00Z
17.5,2022-07-11T05:15:00Z
9.1,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
1.0,2026-07-14T09:00:00Z
12.0,2021-08-09T11:00:00Z
2.0,2026-07-14T09:00:00Z
7.0,2021-08-09T11:00:00Z
8.01206,2023-12-20T08:00:00Z
0.4,2026-05-04T16:00:00Z
11.3,2026-07-14T10:00:00Z
20.9,2026-07-14T10:00:00Z
9.7,2023-06-13T00:00:00Z
3.2,2020-10-21T21:00:00Z
2.4,2026-07-14T09:00:00Z
0.0,2026-07-14T10:00:00Z
6.23,2026-07-14T09:00:00Z
0.8350000039674342,2025-11-19T05:00:00Z
5.92,2026-07-14T09:00:00Z
3.2,2026-07-14T10:00:00Z
18.3,2026-07-14T10:00:00Z
5.2,2026-07-02T02:00:00Z
18.8,2026-07-14T08:00:00Z
7.7,2026-07-02T02:00:00Z
11.3,2026-07-14T10:00:00Z
13.6,2023-11-23T06:00:00Z
6.6,2026-07-02T02:00:00Z
6.32578,2026-07-14T09:00:00Z
3.9,2026-07-14T10:00:00Z
15.4,2026-07-14T10:00:00Z
13.4,2026-07-14T10:00:00Z
17.2,2026-07-14T10:00:00Z
7.08690470457077,2024-07-19T05:00:00Z
4.25898806254069,2025-02-24T07:00:00Z
5.8,2026-07-13T11:00:00Z
10.09,2024-07-25T22:02:04Z
6.81,2026-07-14T10:01:37Z
6.93,2026-07-14T09:52:27Z
7.32,2026-07-14T09:50:45Z
9.11,2026-07-14T10:03:17Z
8.41,2026-07-14T09:54:16Z
12.1,2026-07-14T10:00:00Z
1.3310909162868152,2025-06-23T20:00:00Z
0.06666666766007741,2024-11-23T00:00:00Z
25.539166704813635,2026-01-27T10:00:00Z
6.2,2026-03-31T11:00:00Z
5.08,2024-10-18T14:05:53Z
11.0,2017-04-28T11:00:00Z
2.2,2026-07-14T09:00:00Z
115.58,2022-10-31T01:45:00Z
4.7,2026-07-14T09:00:00Z
20.0,2026-05-21T19:00:00Z
3.5,2024-08-29T18:00:00Z
9.6,2024-06-19T23:00:00Z
12.0,2026-07-14T09:00:00Z
5.6,2026-06-18T12:00:00Z
7.5,2024-07-11T16:00:00Z
6.0,2026-07-14T10:00:00Z
15.0,2021-08-09T11:00:00Z
14.0,2026-07-14T09:00:00Z
8.0,2020-05-05T23:00:00Z
4.0,2019-11-07T13:00:00Z
0.9,2024-10-17T16:00:00Z
6.97,2026-07-14T09:50:32Z
18.65,2025-01-22T15:26:13Z
10.2,2026-07-14T10:05:33Z
7.93,2026-07-14T10:00:22Z
7.39,2026-07-14T10:06:34Z
6.16,2026-07-14T09:59:12Z
5.7,2026-05-28T21:00:00Z
27.2,2026-07-14T10:00:00Z
0.0,2025-12-04T00:05:00Z
7.6,2026-07-14T09:58:45Z
12.5,2026-07-14T07:00:00Z
3.071727232499556,2025-06-12T13:00:00Z
21.0,2026-07-14T10:00:00Z
16.612337719310414,2025-04-11T16:00:00Z
11.98,2026-07-11T05:56:36Z
7.91,2026-07-14T10:03:08Z
9.8,2025-12-14T02:14:28Z
6.31,2026-07-14T10:01:41Z
8.18,2026-07-14T09:50:55Z
3.48,2026-07-14T09:54:05Z
5.14,2026-07-14T10:05:01Z
8.62,2026-07-14T10:02:14Z
7.65,2026-07-14T09:59:11Z
9.12,2026-07-14T09:56:32Z
15.29,2026-07-14T06:49:17Z
8.87,2026-01-27T11:02:02Z
7.23,2026-07-14T10:04:30Z
1.89,2026-07-14T09:51:25Z
1.0,2026-03-13T06:12:10Z
7.39,2026-07-14T09:56:49Z
5.33,2026-07-14T09:53:23Z
6.95,2026-07-14T09:53:43Z
6.04,2026-07-14T10:01:42Z
2.98,2026-07-14T10:00:29Z
18.0,2021-08-09T11:00:00Z
35.0,2021-08-09T11:00:00Z
0.4,2026-06-15T03:00:00Z
12.225,2024-01-29T19:00:00Z
10.365,2022-10-28T02:00:00Z
7.39,2026-07-14T10:05:47Z
6.7,2026-07-14T09:50:51Z
8.0,2021-08-09T11:00:00Z
11.7325,2026-07-14T09:00:00Z
6.7,2026-07-02T02:00:00Z
29.9700267,2025-04-10T14:00:00Z
1.6,2026-07-14T10:00:00Z
1.8,2026-07-14T10:00:00Z
14.0,2026-07-14T09:00:00Z
11.0,2019-04-18T18:00:00Z
12.0,2026-07-14T09:00:00Z
2.05,2026-06-17T11:00:00Z
3.69,2020-12-01T00:00:00Z
0.2,2022-11-22T23:00:00Z
8.0,2019-12-04T19:00:00Z
7.0,2023-02-16T00:00:00Z
44.0,2021-08-09T11:00:00Z
8.2,2026-07-02T02:00:00Z
46.0,2021-08-09T11:00:00Z
11.3,2026-07-14T09:00:00Z
7.8,2026-06-18T00:00:00Z
8.07134,2026-07-14T09:00:00Z
4.0,2018-07-12T17:00:00Z
9.0,2021-08-09T11:00:00Z
10.0,2021-08-09T11:00:00Z
6.0,2021-08-09T11:00:00Z
5.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
28.0,2024-07-11T16:00:00Z
19.0,2021-08-09T11:00:00Z
63.0,2021-08-09T11:00:00Z
7.4,2026-07-14T09:00:00Z
12.0,2021-08-09T11:00:00Z
27.0,2021-08-09T11:00:00Z
2.0,2025-11-27T12:52:07Z
12.2,2026-07-14T08:00:00Z
28.0,2021-08-09T11:00:00Z
10.2,2026-07-14T09:00:00Z
5.0,2019-03-06T18:00:00Z
6.0,2021-08-09T11:00:00Z
58.0,2020-12-31T16:00:00Z
15.0,2021-08-09T11:00:00Z
6.279,2023-10-11T10:00:00Z
2.2,2026-01-23T13:00:00Z
15.3,2018-04-25T00:00:00Z
9.0,2021-08-09T11:00:00Z
5.9,2022-09-30T04:00:00Z
19.0036,2020-12-31T17:00:00Z
19.0,2021-08-09T11:00:00Z
27.0,2021-08-09T11:00:00Z
13.0,2019-11-21T19:00:00Z
13.0,2021-08-09T11:00:00Z
24.7,2023-09-23T12:00:00Z
3.89,2020-12-01T00:00:00Z
133.0,2026-07-14T08:00:00Z
11.0,2021-08-09T11:00:00Z
28.4,2026-07-14T10:00:00Z
37.0,2021-08-09T11:00:00Z
19.0,2026-07-14T08:00:00Z
0.1,2026-07-14T10:00:00Z
3.3,2026-07-14T10:00:00Z
53.6,2026-01-01T18:00:00Z
5.3,2026-07-14T09:00:00Z
15.0,2021-08-09T11:00:00Z
9.67868954,2024-01-29T20:00:00Z
13.6,2026-07-14T10:00:00Z
0.0,2026-07-14T10:00:00Z
0.0,2026-07-14T10:00:00Z
3.0,2021-08-09T11:00:00Z
9.0,2021-08-09T11:00:00Z
23.0,2019-12-27T09:00:00Z
6.7,2026-07-14T09:00:00Z
4.72,2026-07-14T09:00:00Z
8.7,2026-05-20T12:00:00Z
19.2,2019-01-04T15:00:00Z
3.29,2026-07-14T10:13:00Z
18.053,2022-12-18T12:00:00Z
19.0444788336842,2022-02-09T00:00:00Z
6.0,2021-08-09T11:00:00Z
3.9,2025-11-13T22:00:00Z
16.0,2019-11-26T17:00:00Z
12.3,2025-12-08T14:00:00Z
86.6,2023-09-23T12:00:00Z
0.4,2023-09-23T12:00:00Z
52.0,2021-08-09T11:00:00Z
4.3,2017-04-28T18:00:00Z
6.07340002,2024-03-04T10:00:00Z
10.0,2023-09-23T12:00:00Z
6.6,2023-09-23T12:00:00Z
5.0,2021-08-09T11:00:00Z
11.0,2023-09-23T12:00:00Z
11.9,2026-07-14T09:00:00Z
9.1,2026-07-14T09:00:00Z
26.0,2023-04-02T21:20:06Z
6.0,2021-09-30T23:14:13Z
11.761,2023-04-27T08:00:00Z
25.0,2022-12-03T14:41:02Z
1.5,2026-07-14T10:00:00Z
2.23,2021-05-10T16:00:00Z
23.2,2023-09-23T12:00:00Z
21.1,2023-09-23T12:00:00Z
61.459166666667,2025-12-02T06:00:00Z
27.3,2023-09-23T12:00:00Z
7.0,2026-07-14T09:00:00Z
10.2,2026-07-14T09:00:00Z
16.0,2021-08-09T11:00:00Z
4.9,2024-10-01T15:00:00Z
7.2,2026-07-13T11:00:00Z
12.5,2023-09-23T12:00:00Z
14.0,2023-09-23T12:00:00Z
16.0,2023-09-23T12:00:00Z
15.0,2023-09-23T12:00:00Z
29.65,2023-10-11T10:00:00Z
16.0,2021-08-09T11:00:00Z
8.0,2021-08-09T11:00:00Z
25.0,2021-08-09T11:00:00Z
14.0,2026-07-14T08:00:00Z
10.0,2021-08-09T11:00:00Z
8.0,2026-07-14T08:00:00Z
4.3,2026-07-14T02:00:00Z
9.0,2024-01-29T19:00:00Z
4.59,2020-12-01T00:00:00Z
11.36,2026-07-14T09:00:00Z
4.0,2026-01-09T02:00:00Z
13.0,2021-08-09T11:00:00Z
19.0,2020-12-31T16:00:00Z
5.0,2026-07-14T09:00:00Z
14.0,2021-08-09T11:00:00Z
0.5,2020-11-24T18:00:00Z
6.0,2026-07-13T11:00:00Z
5.0,2026-03-29T00:00:00Z
11.0,2026-07-14T09:00:00Z
4.6,2026-07-14T10:00:00Z
4.0,2021-08-09T11:00:00Z
46.0,2021-07-19T21:00:00Z
23.327,2024-01-29T19:00:00Z
7.0,2021-08-09T11:00:00Z
